0,1
Datasets/IAM_Words/words/g07/g07-000b/g07-000b-09-02.png,the
Datasets/IAM_Words/words/g06/g06-037m/g06-037m-08-01.png,he
Datasets/IAM_Words/words/a01/a01-058u/a01-058u-03-04.png,yesterday
Datasets/IAM_Words/words/g06/g06-018g/g06-018g-00-11.png,to
Datasets/IAM_Words/words/a01/a01-132u/a01-132u-09-03.png,.
Datasets/IAM_Words/words/g07/g07-026a/g07-026a-07-01.png,stealthy
Datasets/IAM_Words/words/g06/g06-047d/g06-047d-00-06.png,whom
Datasets/IAM_Words/words/g06/g06-050b/g06-050b-00-01.png,first
Datasets/IAM_Words/words/g06/g06-011n/g06-011n-03-01.png,permitted
Datasets/IAM_Words/words/f07/f07-021a/f07-021a-02-08.png,into
Datasets/IAM_Words/words/g06/g06-042g/g06-042g-00-02.png,this
Datasets/IAM_Words/words/g06/g06-045n/g06-045n-08-03.png,founder
Datasets/IAM_Words/words/g06/g06-042n/g06-042n-01-00.png,today
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-06-00.png,Rhodesia
Datasets/IAM_Words/words/c03/c03-096d/c03-096d-02-06.png,driven
Datasets/IAM_Words/words/c03/c03-081a/c03-081a-05-00.png,heard
Datasets/IAM_Words/words/c03/c03-096f/c03-096f-06-04.png,because
Datasets/IAM_Words/words/h07/h07-040b/h07-040b-01-01.png,the
Datasets/IAM_Words/words/g06/g06-050o/g06-050o-08-01.png,and
Datasets/IAM_Words/words/c03/c03-007b/c03-007b-03-07.png,and
Datasets/IAM_Words/words/g06/g06-037n/g06-037n-02-03.png,","
Datasets/IAM_Words/words/a01/a01-058u/a01-058u-03-02.png,in
Datasets/IAM_Words/words/g06/g06-037i/g06-037i-03-05.png,there
Datasets/IAM_Words/words/g06/g06-045l/g06-045l-04-03.png,that
Datasets/IAM_Words/words/g06/g06-011c/g06-011c-02-01.png,as
Datasets/IAM_Words/words/g06/g06-026r/g06-026r-02-05.png,has
Datasets/IAM_Words/words/g06/g06-018b/g06-018b-08-04.png,temperature
Datasets/IAM_Words/words/g06/g06-050b/g06-050b-03-05.png,He
Datasets/IAM_Words/words/h07/h07-071a/h07-071a-03-06.png,by
Datasets/IAM_Words/words/g06/g06-011a/g06-011a-05-01.png,he
Datasets/IAM_Words/words/g06/g06-031e/g06-031e-02-10.png,I
Datasets/IAM_Words/words/g07/g07-000a/g07-000a-05-01.png,BODY
Datasets/IAM_Words/words/g06/g06-045g/g06-045g-05-00.png,under
Datasets/IAM_Words/words/a01/a01-049x/a01-049x-04-07.png,which
Datasets/IAM_Words/words/g06/g06-011l/g06-011l-01-06.png,as
Datasets/IAM_Words/words/a01/a01-091u/a01-091u-08-03.png,beyond
Datasets/IAM_Words/words/g06/g06-018n/g06-018n-08-02.png,","
Datasets/IAM_Words/words/c03/c03-081f/c03-081f-05-00.png,heard
Datasets/IAM_Words/words/g06/g06-031k/g06-031k-02-08.png,mistaken
Datasets/IAM_Words/words/g06/g06-045i/g06-045i-05-08.png,the
Datasets/IAM_Words/words/a01/a01-026x/a01-026x-06-05.png,But
Datasets/IAM_Words/words/g06/g06-031m/g06-031m-03-06.png,the
Datasets/IAM_Words/words/g06/g06-018o/g06-018o-05-07.png,journey
Datasets/IAM_Words/words/g06/g06-047n/g06-047n-00-02.png,man
Datasets/IAM_Words/words/g06/g06-047p/g06-047p-03-05.png,medical
Datasets/IAM_Words/words/g06/g06-037i/g06-037i-09-00.png,slightest
Datasets/IAM_Words/words/g06/g06-037f/g06-037f-01-10.png,I
Datasets/IAM_Words/words/g06/g06-026e/g06-026e-04-01.png,temporary
Datasets/IAM_Words/words/g06/g06-031p/g06-031p-04-00.png,at
Datasets/IAM_Words/words/c03/c03-003c/c03-003c-05-05.png,.
Datasets/IAM_Words/words/g06/g06-047f/g06-047f-03-05.png,cities
Datasets/IAM_Words/words/g06/g06-047h/g06-047h-04-07.png,Europe
Datasets/IAM_Words/words/g06/g06-011l/g06-011l-03-04.png,which
Datasets/IAM_Words/words/g06/g06-011f/g06-011f-01-11.png,permitted
Datasets/IAM_Words/words/g06/g06-050b/g06-050b-05-00.png,with
Datasets/IAM_Words/words/g06/g06-047c/g06-047c-03-05.png,had
Datasets/IAM_Words/words/g06/g06-011g/g06-011g-00-06.png,he
Datasets/IAM_Words/words/g06/g06-037g/g06-037g-07-01.png,since
Datasets/IAM_Words/words/g06/g06-026g/g06-026g-00-08.png,happens
Datasets/IAM_Words/words/a01/a01-122u/a01-122u-02-01.png,take
Datasets/IAM_Words/words/g06/g06-011g/g06-011g-02-14.png,'
Datasets/IAM_Words/words/g06/g06-011m/g06-011m-03-00.png,'
Datasets/IAM_Words/words/f07/f07-046b/f07-046b-02-05.png,have
Datasets/IAM_Words/words/g06/g06-047m/g06-047m-00-04.png,medicine
Datasets/IAM_Words/words/c03/c03-000c/c03-000c-01-03.png,Honey
Datasets/IAM_Words/words/g06/g06-047m/g06-047m-04-01.png,number
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-05-00.png,Government
Datasets/IAM_Words/words/g06/g06-045e/g06-045e-03-06.png,and
Datasets/IAM_Words/words/g06/g06-045c/g06-045c-05-00.png,treated
Datasets/IAM_Words/words/g06/g06-031f/g06-031f-04-01.png,House
Datasets/IAM_Words/words/a01/a01-053x/a01-053x-04-01.png,Investigation
Datasets/IAM_Words/words/g06/g06-011e/g06-011e-05-03.png,and
Datasets/IAM_Words/words/g06/g06-018o/g06-018o-07-02.png,and
Datasets/IAM_Words/words/g06/g06-037e/g06-037e-03-02.png,was
Datasets/IAM_Words/words/a01/a01-087u/a01-087u-07-04.png,tried
Datasets/IAM_Words/words/g06/g06-047f/g06-047f-02-08.png,increasing
Datasets/IAM_Words/words/g06/g06-050l/g06-050l-01-09.png,advice
Datasets/IAM_Words/words/c03/c03-081b/c03-081b-03-06.png,a
Datasets/IAM_Words/words/c03/c03-021a/c03-021a-00-04.png,girl
Datasets/IAM_Words/words/h07/h07-040b/h07-040b-10-02.png,amenities
Datasets/IAM_Words/words/f07/f07-032a/f07-032a-03-03.png,the
Datasets/IAM_Words/words/g06/g06-031m/g06-031m-00-07.png,he
Datasets/IAM_Words/words/g06/g06-011o/g06-011o-09-05.png,as
Datasets/IAM_Words/words/f07/f07-021b/f07-021b-02-01.png,","
Datasets/IAM_Words/words/f07/f07-042a/f07-042a-04-05.png,mice
Datasets/IAM_Words/words/g06/g06-031f/g06-031f-01-03.png,indifferent
Datasets/IAM_Words/words/a01/a01-063x/a01-063x-04-02.png,Minister
Datasets/IAM_Words/words/g06/g06-018o/g06-018o-06-06.png,there
Datasets/IAM_Words/words/a01/a01-132x/a01-132x-01-03.png,an
Datasets/IAM_Words/words/a01/a01-113u/a01-113u-06-03.png,which
Datasets/IAM_Words/words/f07/f07-084b/f07-084b-03-05.png,course
Datasets/IAM_Words/words/g06/g06-026p/g06-026p-02-08.png,one
Datasets/IAM_Words/words/g06/g06-018g/g06-018g-04-00.png,The
Datasets/IAM_Words/words/a01/a01-107u/a01-107u-02-01.png,need
Datasets/IAM_Words/words/c03/c03-000c/c03-000c-03-02.png,Mr.
Datasets/IAM_Words/words/h07/h07-063a/h07-063a-01-09.png,small
Datasets/IAM_Words/words/c03/c03-003c/c03-003c-06-04.png,","
Datasets/IAM_Words/words/g06/g06-050p/g06-050p-04-06.png,and
Datasets/IAM_Words/words/g06/g06-031c/g06-031c-01-10.png,really
Datasets/IAM_Words/words/g06/g06-045m/g06-045m-04-02.png,extraordinary
Datasets/IAM_Words/words/f07/f07-046b/f07-046b-05-00.png,Celestials
Datasets/IAM_Words/words/g06/g06-031r/g06-031r-01-04.png,am
Datasets/IAM_Words/words/g06/g06-018j/g06-018j-03-03.png,","
Datasets/IAM_Words/words/g06/g06-018o/g06-018o-01-00.png,sent
Datasets/IAM_Words/words/f07/f07-024a/f07-024a-02-05.png,feast
Datasets/IAM_Words/words/c03/c03-016b/c03-016b-09-04.png,away
Datasets/IAM_Words/words/h07/h07-063b/h07-063b-07-08.png,)
Datasets/IAM_Words/words/c03/c03-084d/c03-084d-01-05.png,to
Datasets/IAM_Words/words/g06/g06-018g/g06-018g-04-02.png,has
Datasets/IAM_Words/words/g06/g06-031d/g06-031d-00-05.png,!
Datasets/IAM_Words/words/g07/g07-003a/g07-003a-00-04.png,TRELAWNY
Datasets/IAM_Words/words/g06/g06-045h/g06-045h-01-04.png,","
Datasets/IAM_Words/words/g06/g06-045d/g06-045d-01-08.png,Anglesey
Datasets/IAM_Words/words/g06/g06-037n/g06-037n-00-01.png,grant
Datasets/IAM_Words/words/a01/a01-082u/a01-082u-04-02.png,America
Datasets/IAM_Words/words/a01/a01-087u/a01-087u-08-04.png,first
Datasets/IAM_Words/words/c03/c03-084f/c03-084f-03-05.png,play
Datasets/IAM_Words/words/g06/g06-011o/g06-011o-02-03.png,health
Datasets/IAM_Words/words/c03/c03-087a/c03-087a-08-00.png,characters
Datasets/IAM_Words/words/g06/g06-050e/g06-050e-06-08.png,being
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-04-05.png,members
Datasets/IAM_Words/words/g06/g06-042n/g06-042n-06-01.png,had
Datasets/IAM_Words/words/g06/g06-045p/g06-045p-00-02.png,of
Datasets/IAM_Words/words/c03/c03-007c/c03-007c-06-04.png,to
Datasets/IAM_Words/words/g06/g06-045n/g06-045n-07-03.png,doctor
Datasets/IAM_Words/words/g06/g06-042i/g06-042i-03-09.png,method
Datasets/IAM_Words/words/g07/g07-028a/g07-028a-02-08.png,the
Datasets/IAM_Words/words/g06/g06-047j/g06-047j-05-01.png,medical
Datasets/IAM_Words/words/g06/g06-018k/g06-018k-03-10.png,'
Datasets/IAM_Words/words/c03/c03-007b/c03-007b-05-05.png,""""
Datasets/IAM_Words/words/c03/c03-003f/c03-003f-00-08.png,has
Datasets/IAM_Words/words/f07/f07-042b/f07-042b-02-01.png,they
Datasets/IAM_Words/words/g06/g06-045b/g06-045b-05-00.png,success
Datasets/IAM_Words/words/c03/c03-003e/c03-003e-06-03.png,premiere
Datasets/IAM_Words/words/h07/h07-057a/h07-057a-04-02.png,the
Datasets/IAM_Words/words/c03/c03-016b/c03-016b-07-01.png,inquisitively
Datasets/IAM_Words/words/g06/g06-018d/g06-018d-06-00.png,damp
Datasets/IAM_Words/words/f07/f07-101b/f07-101b-00-09.png,","
Datasets/IAM_Words/words/g06/g06-047p/g06-047p-04-10.png,","
Datasets/IAM_Words/words/g06/g06-047o/g06-047o-02-00.png,a
Datasets/IAM_Words/words/f07/f07-021b/f07-021b-03-02.png,a
Datasets/IAM_Words/words/g06/g06-042a/g06-042a-05-05.png,brought
Datasets/IAM_Words/words/g07/g07-018a/g07-018a-03-06.png,reveals
Datasets/IAM_Words/words/c03/c03-021b/c03-021b-00-05.png,is
Datasets/IAM_Words/words/g06/g06-018r/g06-018r-04-11.png,has
Datasets/IAM_Words/words/g06/g06-026f/g06-026f-02-04.png,of
Datasets/IAM_Words/words/h07/h07-060a/h07-060a-01-03.png,addition
Datasets/IAM_Words/words/c03/c03-096c/c03-096c-01-08.png,feels
Datasets/IAM_Words/words/g06/g06-037b/g06-037b-06-05.png,effective
